Year,Name,College,POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Win-Loss Record,Round,Pick,Team,Age,To,AP1,PB,St,CarAV,DrAV,Solo,Int,Sacks,Drafted,Solos_Per_Year,Ints_Per_Year,Sacks_Per_Year,Solos_Per_Game
2004.0,Courtney Watson,Notre Dame,OLB,73.4,237.0,4.56,22.0,36.5,114.0,4.35,7.39,9-3-0,2.0,60.0,NOR,23.0,2005.0,0.0,0.0,1.0,7.0,7.0,68.0,0.0,3.0,D,68.0,0.0,3.0,4.25
2004.0,Corey Williams,Arkansas State,DT,76.0,313.0,5.18,25.0,28.0,116.59947643979058,4.55,7.97,6-6-0,6.0,179.0,GNB,24.0,2012.0,0.0,0.0,5.0,33.0,11.0,200.0,2.0,27.5,D,25.0,0.25,3.44,1.5625
2004.0,Demorrio Williams,Nebraska,OLB,72.8,232.0,4.54,16.0,37.0,125.0,4.11,7.02,8-4-0,4.0,101.0,ATL,24.0,2012.0,0.0,0.0,5.0,35.0,21.0,480.0,7.0,7.5,D,60.0,0.88,0.94,3.75
2004.0,Madieu Williams,Maryland,FS,72.4,193.0,4.5,18.0,34.358247422680414,125.0,4.280972644376902,7.203437499999993,5-6-0,2.0,56.0,CIN,22.0,2012.0,0.0,0.0,7.0,34.0,16.0,450.0,13.0,5.5,D,56.25,1.62,0.69,3.515625
2004.0,Gibril Wilson,Tennessee,SS,72.1,197.0,4.47,15.0,34.358247422680414,120.0,4.280972644376902,7.203437499999993,5-6-0,5.0,136.0,NYG,22.0,2011.0,0.0,0.0,6.0,34.0,23.0,488.0,13.0,8.5,D,69.71,1.86,1.21,4.356875
2004.0,Dexter Wynn,Colorado State,CB,69.3,175.0,4.49,13.0,39.0,123.0,3.9,6.7,6-6-0,6.0,192.0,PHI,23.0,2008.0,0.0,0.0,0.0,4.0,3.0,43.0,0.0,1.0,D,10.75,0.0,0.25,0.671875
2005.0,Hamza Abdullah,Washington State,SS,74.0,214.0,4.65,18.0,39.0,114.0,4.280972644376902,6.94,4-7-0,7.0,231.0,TAM,22.0,2011.0,0.0,0.0,1.0,5.0,,68.0,0.0,0.0,D,11.33,0.0,0.0,0.708125
2005.0,O.J. Atogwe,Stanford,FS,71.0,219.0,4.57,22.0,34.358247422680414,116.59947643979058,4.280972644376902,7.203437499999993,5-6-0,3.0,66.0,STL,24.0,2011.0,0.0,0.0,6.0,34.0,31.0,376.0,25.0,5.5,D,62.67,4.17,0.92,3.916875
2005.0,Jonathan Babineaux,Iowa,DT,74.13,286.0,4.9,21.0,29.5,109.0,4.57,7.7,7-5-0,2.0,59.0,ATL,23.0,2016.0,0.0,0.0,10.0,53.0,53.0,291.0,4.0,27.0,D,26.45,0.36,2.45,1.653125
2005.0,Jordan Beck,Cal Poly,OLB,74.38,233.0,4.6,25.0,41.0,128.0,4.12,7.11,,3.0,90.0,ATL,22.0,2007.0,0.0,0.0,0.0,2.0,1.0,19.0,0.0,0.0,D,9.5,0.0,0.0,0.59375
2005.0,Justin Beriault,Ball State (IN),FS,74.75,204.0,4.57,14.0,39.5,124.0,3.8,6.92,,6.0,208.0,DAL,,2006.0,0.0,0.0,0.0,,,0.0,0.0,0.0,D,0.0,0.0,0.0,0.0
2005.0,Darryl Blackstock,Virginia,OLB,74.63,247.0,4.72,25.0,39.0,126.0,4.29,7.05,7-5-0,3.0,95.0,ARI,22.0,2011.0,0.0,0.0,0.0,7.0,5.0,75.0,0.0,4.0,D,12.5,0.0,0.67,0.78125
2005.0,Michael Boley,Southern Mississippi,OLB,74.75,236.0,4.62,21.68733850129199,34.0,110.0,4.12,7.08,7-5-0,5.0,160.0,ATL,23.0,2013.0,0.0,0.0,8.0,43.0,23.0,542.0,8.0,9.5,D,67.75,1.0,1.19,4.234375
2005.0,Anthony Bryant,Alabama,DT,75.0,337.0,5.1,23.0,31.5,106.0,4.68,7.8,10-2-0,6.0,178.0,TAM,23.0,2010.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,D,1.4,0.0,0.0,0.0875
2005.0,Josh Bullocks,Nebraska,FS,72.0,209.0,4.49,21.68733850129199,37.5,116.0,4.08,7.09,8-4-0,2.0,40.0,NOR,22.0,2010.0,0.0,0.0,3.0,21.0,19.0,235.0,6.0,1.0,D,47.0,1.2,0.2,2.9375
2005.0,Kevin Burnett,Tennessee,OLB,74.88,239.0,4.61,20.0,36.0,119.0,4.280972644376902,7.203437499999993,5-6-0,2.0,42.0,DAL,22.0,2013.0,0.0,0.0,4.0,40.0,5.0,495.0,5.0,20.0,D,61.88,0.62,2.5,3.8675
2005.0,Vincent Burns,Kentucky,DE,72.38,267.0,4.9,25.0,35.0,119.0,4.41,7.24,3-8-0,3.0,92.0,IND,,2006.0,0.0,0.0,0.0,,,0.0,0.0,0.0,D,0.0,0.0,0.0,0.0
2005.0,Chris Canty,Virginia,DE,79.25,279.0,4.7082217090069305,21.68733850129199,34.358247422680414,116.59947643979058,4.280972644376902,7.203437499999993,7-5-0,4.0,132.0,DAL,22.0,2015.0,0.0,0.0,9.0,46.0,19.0,234.0,0.0,22.5,D,23.4,0.0,2.25,1.4625
2005.0,Jerome Carter,Florida State,SS,71.38,220.0,4.49,21.0,35.0,116.0,4.04,7.18,8-5-0,4.0,117.0,STL,22.0,2007.0,0.0,0.0,0.0,3.0,3.0,62.0,2.0,0.0,D,31.0,1.0,0.0,1.9375
2005.0,Luis Castillo,Northwestern,DT,75.38,303.0,4.82,32.0,34.5,110.0,4.280972644376902,7.203437499999993,7-5-0,1.0,28.0,SDG,22.0,2011.0,0.0,0.0,6.0,33.0,33.0,152.0,2.0,19.0,D,25.33,0.33,3.17,1.583125
