Year,Name,College,POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Win-Loss Record,Round,Pick,Team,Age,To,AP1,PB,St,CarAV,DrAV,Solo,Int,Sacks,Drafted
2004.0,Antwan Odom,Alabama,DE,77.8,274.0,4.74,21.0,37.0,114.0,4.44,7.3,10-2-0,2,57,TEN,22,2010,0,0,4,23,15,97,,23.5,D
2004.0,Igor Olshansky,Oregon,DT,77.3,315.0,5.01,41.0,33.5,110.0,4.41,7.61,10-2-0,2,35,SDG,22,2011,0,0,7,37,26,166,1,12.5,D
2004.0,Uyi Osunde,Connecticut,DE,75.1,252.0,4.75,33.0,,,,,5-6-0,,,,,,,,,,,,,,U
2004.0,Arnold Parker,Utah,SS,73.9,213.0,4.52,18.0,35.5,120.0,4.12,6.98,7-5-0,,,,,,,,,,,,,,U
2004.0,Shaun Phillips,Purdue,DE,75.1,255.0,4.83,,33.0,114.0,4.23,6.95,5-6-0,4,98,SDG,23,2014,0,1,8,53,47,406,7,81.5,D
2004.0,Will Poole,Southern California,CB,70.4,194.0,4.47,16.0,,,,,12-1-0,4,102,MIA,23,2004,0,0,0,1,1,26,,1.0,D
2004.0,Derrick Pope,Alabama,OLB,70.9,230.0,4.69,24.0,,106.0,,,10-2-0,7,222,MIA,22,2007,0,0,1,10,10,104,2,2.0,D
2004.0,Kendyll Pope,Florida State,OLB,73.0,226.0,4.71,,,118.0,4.26,,8-5-0,4,107,IND,23,2004,0,0,0,0,0,1,,,D
2004.0,Etric Pruitt,Southern Mississippi,FS,72.1,197.0,4.59,,39.5,116.0,4.0,7.15,7-5-0,6,186,ATL,23,2005,0,0,0,0,0,9,,,D
2004.0,Chad Pugh,Texas Christian,DT,74.8,321.0,5.44,19.0,25.0,98.0,4.85,8.17,11-1-0,,,,,,,,,,,,,,U
2004.0,Keiwan Ratliff,Florida,CB,70.1,194.0,4.58,11.0,,,,,9-3-0,2,49,CIN,23,2010,0,0,0,9,6,129,5,,D
2004.0,Robert Reynolds,Ohio State,ILB,75.5,251.0,4.79,18.0,32.5,116.0,3.94,7.17,10-2-0,5,165,TEN,23,2006,0,0,0,2,2,26,,,D
2004.0,Lawrence Richardson,Arkansas,CB,69.3,194.0,4.63,8.0,31.0,112.0,,,4-7-0,,,,,,,,,,,,,,U
2004.0,Greg Richmond,Oklahoma State,OLB,73.0,233.0,4.7,17.0,,,,,4-7-0,,,,,,,,,,,,,,U
2004.0,Constantin Ritzmann,Tennessee,DE,75.0,259.0,4.97,24.0,29.0,108.0,4.48,7.39,5-6-0,,,,,,,,,,,,,,U
2004.0,Dunta Robinson,South Carolina,CB,70.6,186.0,4.35,15.0,36.0,120.0,3.75,6.97,7-5-0,1,10,HOU,22,2013,0,0,8,39,21,504,17,5.5,D
2004.0,Bob Sanders,Iowa,SS,68.4,204.0,4.4,15.0,41.5,128.0,3.91,6.7,7-5-0,2,44,IND,23,2011,2,2,2,32,31,229,6,3.5,D
2004.0,Bo Schobel,Texas Christian,DE,77.0,271.0,4.82,25.0,32.5,109.0,4.38,6.94,11-1-0,4,103,TEN,23,2007,0,0,0,3,2,41,,1.5,D
2004.0,Stuart Schweigert,Purdue,FS,74.0,218.0,4.45,18.0,38.0,124.0,3.89,6.68,5-6-0,3,67,OAK,23,2008,0,0,3,15,15,266,4,,D
2004.0,Darrion Scott,Ohio State,DE,75.1,289.0,4.84,,36.5,118.0,4.32,,10-2-0,3,88,MIN,22,2011,0,0,2,15,15,80,,9.5,D
2004.0,Guss Scott,Florida,SS,70.4,204.0,4.49,20.0,39.0,124.0,,,9-3-0,3,95,NWE,23,2006,0,0,0,1,1,32,,,D
2004.0,Richard Seigler,Oregon State,ILB,74.3,244.0,4.75,25.0,,,,,5-6-0,4,127,SFO,23,2006,0,0,0,0,0,4,,,D
2004.0,Jason Shivers,Arizona State,FS,72.5,201.0,4.53,19.0,36.0,128.0,,,7-5-0,5,158,STL,21,2004,0,0,0,0,,1,,,D
2004.0,Andrew Shull,Kansas State,DE,76.6,265.0,4.95,16.0,30.5,107.0,4.28,7.46,5-6-0,,,,,,,,,,,,,,U
2004.0,Junior Siavii,Oregon,DT,76.5,344.0,5.18,31.0,24.5,93.0,4.84,7.93,10-2-0,2,36,KAN,25,2010,0,0,0,6,2,46,,1.0,D
2004.0,Antonio Smith,Oklahoma State,DE,75.4,274.0,5.05,24.0,33.0,108.0,4.75,,4-7-0,5,135,ARI,22,2016,0,1,8,56,16,247,,47.5,D
2004.0,Daryl Smith,Georgia Tech,OLB,73.6,234.0,4.67,24.0,,,,,7-5-0,2,39,JAX,22,2016,0,0,12,75,44,764,12,30.5,D
2004.0,Keith Smith,McNeese State (LA),CB,71.5,201.0,4.49,12.0,36.5,116.0,,,,3,73,DET,24,2009,0,0,0,7,7,130,4,1.0,D
2004.0,Isaac Sopoaga,Hawaii,DT,74.3,317.0,5.0,42.0,30.5,99.0,4.66,7.79,5-7-0,4,104,SFO,23,2013,0,0,5,36,32,158,,8.5,D
2004.0,Cody Spencer,North Texas,ILB,74.5,242.0,4.67,27.0,34.5,116.0,4.08,6.94,2-9-0,6,182,OAK,23,2008,0,0,0,4,,54,,,D
2004.0,Randy Starks,Maryland,DT,75.4,314.0,5.03,27.0,29.5,102.0,,,5-6-0,3,71,TEN,20,2015,0,2,8,61,10,300,4,42.0,D
2004.0,Billy Strother,New Mexico,OLB,73.0,241.0,4.68,,33.0,112.0,4.21,7.42,6-5-0,,,,,,,,,,,,,,U
2004.0,Greg Taplin,Michigan State,DE,77.0,267.0,5.09,,33.0,115.0,,,5-6-0,,,,,,,,,,,,,,U
2004.0,Craig Terrill,Purdue,DT,74.5,290.0,5.23,28.0,26.5,100.0,4.1,7.39,5-6-0,6,189,SEA,24,2010,0,0,0,9,9,77,,8.0,D
2004.0,Dontarrious Thomas,Auburn,OLB,74.5,241.0,4.64,26.0,38.5,129.0,4.0,,9-3-0,2,48,MIN,24,2008,0,0,0,8,8,104,,1.5,D
2004.0,Joey Thomas,Montana State,CB,72.9,195.0,4.46,17.0,38.5,122.0,3.88,6.82,,3,70,GNB,24,2008,0,0,0,3,2,34,,,D
2004.0,Chris Thompson,Nicholls State (LA),CB,72.0,189.0,4.5,12.0,35.0,117.0,4.14,7.09,,5,150,JAX,22,2005,0,0,0,1,,7,,,D
2004.0,Bruce Thornton,Georgia,CB,71.0,197.0,4.5,,37.5,122.0,,,10-3-0,4,121,DAL,24,2005,0,0,1,4,0,37,2,,D
2004.0,Deryck Toles,Penn State,OLB,71.8,224.0,4.62,24.0,37.0,112.0,4.23,7.12,11-1-0,,,,,,,,,,,,,,U
2004.0,Reggie Torbor,Auburn,DE,74.1,254.0,4.7,16.0,34.0,120.0,4.46,7.48,9-3-0,4,97,NYG,23,2010,0,0,2,17,11,178,2,6.5,D
2004.0,Daryl Towns,Nevada,OLB,73.0,224.0,4.57,,37.0,112.0,4.25,7.15,9-3-0,,,,,,,,,,,,,,U
2004.0,Marcus Tubbs,Texas,DT,76.0,321.0,5.05,29.0,32.5,105.0,,,13-0-0,1,23,SEA,23,2006,0,0,1,9,9,37,,7.0,D
2004.0,Sean Tufts,Colorado,OLB,76.1,242.0,4.66,21.0,34.5,118.0,3.94,6.94,7-6-0,6,196,CAR,22,2005,0,0,0,1,1,9,,,D
2004.0,Khaleed Vaughn,Clemson,DE,76.5,281.0,5.02,14.0,31.5,113.0,4.35,7.38,8-4-0,,,,,,,,,,,,,,U
2004.0,Michael Waddell,North Carolina,CB,70.9,187.0,4.33,14.0,37.5,121.0,4.03,6.84,5-6-0,4,124,TEN,23,2008,0,0,0,3,3,60,1,0.5,D
2004.0,Matt Ware,UCLA,FS,74.4,209.0,4.54,15.0,,,,,10-2-0,3,89,PHI,21,2010,0,0,0,6,2,100,1,,D
2004.0,Donnell Washington,Clemson,DT,77.5,332.0,5.03,34.0,31.0,109.0,4.88,7.8,8-4-0,3,72,GNB,,,0,0,0,,,,,,D
2004.0,Rashad Washington,Kansas State,FS,74.1,223.0,4.61,14.0,34.0,116.0,4.02,7.06,5-6-0,7,236,NYJ,24,2007,0,0,0,3,3,54,,1.5,D
2004.0,Courtney Watson,Notre Dame,OLB,73.4,237.0,4.56,22.0,36.5,114.0,4.35,7.39,9-3-0,2,60,NOR,23,2005,0,0,1,7,7,68,,3.0,D
2004.0,Vince Wilfork,Miami (FL),DT,73.3,323.0,5.21,36.0,,,,,9-3-0,,,,,,,,,,,,,,U
