Year,Name,College_x,POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Win-Loss Record,Round,Pick,Team,Pos,Age,To,AP1,PB,St,CarAV,DrAV,Solo,Int,Sacks,Drafted
2006.0,A.J. Nicholson,Florida State,OLB,72.75,252.0,4.9,25.0,,116.0,4.43,7.37,8-5-0,5,157,CIN,LB,23,2006,0,0,0,0,0,,,,1
2006.0,Rob Ninkovich,Purdue,DE,75.13,260.0,4.93,23.0,34.5,116.0,4.18,6.96,5-6-0,5,135,NOR,DE,22,2016,0,0,7,50,0,273,5,46.0,1
2006.0,Melvin Oliver,Louisiana State,DE,74.75,276.0,,,,,,,11-2-0,6,197,SFO,DE,23,2006,0,0,1,6,6,35,,1.0,1
2006.0,Chijioke Onyenegecha,Oklahoma,CB,73.38,215.0,4.58,16.0,34.5,118.0,,,8-4-0,,,,,,,,,,,,,,,0
2006.0,Babatunde Oshinowo,Stanford,DT,73.63,304.0,5.32,33.0,32.0,105.0,4.54,7.87,5-6-0,6,181,CLE,DT,23,2007,0,0,0,0,0,2,,,1
2006.0,Chase Page,North Carolina,DT,76.5,290.0,,,,,,,5-6-0,7,225,SDG,DT,23,2007,0,0,0,0,,4,,,1
2006.0,Jarrad Page,UCLA,SS,72.38,239.0,4.64,,38.0,127.0,4.14,6.68,10-2-0,,,,,,,,,,,,,,,0
2006.0,Kai Parham,Virginia,ILB,75.0,256.0,5.04,30.0,35.0,116.0,4.33,7.35,7-5-0,,,,,,,,,,,,,,,0
2006.0,Domata Peko,Michigan State,DT,74.75,307.0,5.28,25.0,28.5,103.0,4.49,7.69,5-6-0,4,123,CIN,DT,21,2019,0,0,12,67,59,315,,20.0,1
2006.0,Charlie Peprah,Alabama,SS,70.88,206.0,4.7,15.0,37.5,119.0,4.09,6.81,10-2-0,,,,,,,,,,,,,,,0
2006.0,Justin Phinisee,Oregon,SS,70.5,198.0,,,,,,,10-2-0,,,,,,,,,,,,,,,0
