Year,Name,College,POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Win-Loss Record,Round,Pick,Team,Age,To,AP1,PB,St,CarAV,DrAV,Solo,Int,Sacks,Drafted
2006.0,Cameron Vaughn,Louisiana State,OLB,75.75,235.0,4.75,17.0,32.0,117.0,4.22,7.24,11-2-0,,,,,,,,,,,,,,U
2006.0,John Walker,Southern California,CB,71.75,205.0,4.65,,40.0,125.0,4.16,,12-1-0,,,,,,,,,,,,,,U
2006.0,Scott Ware,Southern California,SS,73.13,218.0,4.72,15.0,37.0,115.0,4.25,7.05,12-1-0,,,,,,,,,,,,,,U
2006.0,Steve Williams,Northwest Missouri State,DT,74.75,300.0,,,,,,,,,,,,,,,,,,,,,U
2006.0,Justin Wyatt,Southern California,CB,69.13,189.0,,14.0,,,,,12-1-0,,,,,,,,,,,,,,U
2007.0,Jon Abbate,Wake Forest,ILB,69.75,231.0,5.05,26.0,38.5,115.0,4.33,7.12,4-7-0,,,,,,,,,,,,,,U
2007.0,CJ Ah You,Oklahoma,DE,75.75,274.0,4.73,26.0,36.5,108.0,4.4,7.06,8-4-0,,,,,,,,,,,,,,U
2007.0,Antwan Applewhite,San Diego State,DE,74.88,250.0,4.76,25.0,35.0,115.0,4.36,7.5,5-7-0,,,,,,,,,,,,,,U
2007.0,Anthony Arline,Baylor,CB,73.75,199.0,4.45,12.0,34.5,124.0,4.46,7.02,5-6-0,,,,,,,,,,,,,,U
2007.0,Travarous Bain,Hampton (VA),CB,72.25,182.0,4.46,10.0,,,,,,,,,,,,,,,,,,,U
2007.0,Larry Birdine,Oklahoma,DE,75.63,261.0,5.07,21.0,32.0,107.0,4.76,7.47,8-4-0,,,,,,,,,,,,,,U
2007.0,Tyron Brackenridge,Washington State,CB,71.5,189.0,4.72,,,,,,4-7-0,,,,,,,,,,,,,,U
2007.0,Larry Brown,Oklahoma State,DT,74.63,297.0,5.24,22.0,27.0,108.0,4.81,7.67,4-7-0,,,,,,,,,,,,,,U
2007.0,Mkristo Bruce,Washington State,DE,77.75,268.0,5.16,21.0,29.0,106.0,4.8,7.38,4-7-0,,,,,,,,,,,,,,U
2007.0,Noland Burchette,Virginia Tech,DE,73.88,259.0,4.73,15.0,,,,,11-2-0,,,,,,,,,,,,,,U
2007.0,Zach Catanese,Arizona State,FS,74.25,225.0,,24.0,,,,,7-5-0,,,,,,,,,,,,,,U
2007.0,Jeremy Clark,Alabama,DT,74.5,309.0,5.06,29.0,29.0,104.0,4.82,7.78,10-2-0,,,,,,,,,,,,,,U
2007.0,Duane Coleman,Clemson,CB,69.38,199.0,4.59,18.0,35.5,120.0,4.51,7.18,8-4-0,,,,,,,,,,,,,,U
2007.0,Quinton Culberson,Mississippi State,OLB,72.63,236.0,4.8,18.0,29.5,113.0,,,3-8-0,,,,,,,,,,,,,,U
2007.0,Ola Dagunduro,Nebraska,DT,73.88,313.0,,,,,,,8-4-0,,,,,,,,,,,,,,U
2007.0,Craig Dahl,North Dakota State,SS,73.63,216.0,4.58,17.0,35.0,122.0,4.26,6.69,,,,,,,,,,,,,,,U
2007.0,Jessie Daniels,Louisiana State,SS,70.88,216.0,4.54,25.0,,,,,11-2-0,,,,,,,,,,,,,,U
2007.0,Victor DeGrate,Oklahoma State,DE,74.63,249.0,4.8,19.0,,,,,4-7-0,,,,,,,,,,,,,,U
2007.0,Zac Diles,Michigan State,ILB,72.13,240.0,,,,,,,5-6-0,,,,,,,,,,,,,,U
2007.0,Quintin Echols,Kansas State,DT,72.88,328.0,5.43,25.0,,,,,5-6-0,,,,,,,,,,,,,,U
