Year,Name,College,POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Win-Loss Record,Round,Pick,Team,Age,To,AP1,PB,St,CarAV,DrAV,Solo,Int,Sacks,Drafted,Solos_Per_Year,Ints_Per_Year,Sacks_Per_Year,Solos_Per_Game
2000.0,Quinton Reese,Auburn,DE,76.0,283.0,5.13,18.0,30.0,101.0,4.68,7.91,9-3-0,6.0,181.0,DET,,2006.0,0.0,0.0,0.0,,,0.0,0.0,0.0,D,0.0,0.0,0.0,0.0
2000.0,Fred Robbins,Wake Forest,DT,75.8,312.0,5.13,25.0,29.5,94.0,4.72,7.72,4-7-0,2.0,55.0,MIN,23.0,2011.0,0.0,0.0,10.0,52.0,9.0,272.0,3.0,35.5,D,24.73,0.27,3.23,1.545625
2000.0,Lewis Sanders,Maryland,CB,73.0,202.0,4.5,10.0,37.0,116.0,4.304478021978025,7.204715672676831,5-6-0,4.0,95.0,CLE,22.0,2008.0,0.0,0.0,0.0,14.0,7.0,202.0,5.0,1.0,D,25.25,0.62,0.12,1.578125
2000.0,Sekou Sanyika,California,OLB,75.3,241.0,4.75,21.0,32.5,111.0,4.38,7.33,8-4-0,7.0,215.0,ARI,22.0,2001.0,0.0,0.0,0.0,3.0,3.0,31.0,0.0,1.0,D,31.0,0.0,1.0,1.9375
2000.0,Tony Scott,North Carolina State,CB,70.3,193.0,4.55,11.0,34.0,116.0,4.24,7.45,7-5-0,6.0,179.0,NYJ,23.0,2001.0,0.0,0.0,0.0,2.0,2.0,11.0,1.0,0.0,D,11.0,1.0,0.0,0.6875
2000.0,Richard Seals,Utah,DT,74.0,316.0,5.15,24.0,28.5,102.0,4.6,7.78,7-5-0,7.0,218.0,NYJ,,2006.0,0.0,0.0,0.0,,,0.0,0.0,0.0,D,0.0,0.0,0.0,0.0
2000.0,Jacoby Shepherd,Oklahoma State,CB,73.5,195.0,4.55,5.0,35.0,120.0,4.304478021978025,7.204715672676831,4-7-0,2.0,62.0,STL,21.0,2003.0,0.0,0.0,0.0,1.0,1.0,27.0,1.0,0.0,D,9.0,0.33,0.0,0.5625
2000.0,Mark Simoneau,Kansas State,OLB,72.0,237.0,4.63,24.0,36.0,117.0,4.09,7.08,5-6-0,3.0,67.0,ATL,23.0,2010.0,0.0,0.0,4.0,30.0,5.0,319.0,1.0,7.0,D,31.9,0.1,0.7,1.99375
2000.0,Peter Sirmon,Oregon,ILB,73.9,246.0,4.86,20.0,34.5,115.0,4.27,7.21,10-2-0,4.0,128.0,TEN,23.0,2006.0,0.0,0.0,4.0,25.0,25.0,253.0,4.0,5.0,D,42.17,0.67,0.83,2.635625
2000.0,T.J. Slaughter,Southern Mississippi,ILB,72.1,247.0,4.91,24.0,30.0,112.0,4.26,7.08,7-5-0,3.0,92.0,JAX,23.0,2006.0,0.0,0.0,3.0,17.0,14.0,187.0,1.0,2.0,D,31.17,0.17,0.33,1.948125
